"SCENARIO","Scenario","PLASTIC_LEAKAGE_TO_OCEAN","Variable","TIME","Time","Value","Flag Codes","Flags"
"OBOV-FULL","Global Ambition policy scenario","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2021","2021",33.886957,,
"OBOV-FULL","Global Ambition policy scenario","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2022","2022",35.690074,,
"OBOV-FULL","Global Ambition policy scenario","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2023","2023",37.524054,,
"OBOV-FULL","Global Ambition policy scenario","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2024","2024",39.383175,,
"OBOV-FULL","Global Ambition policy scenario","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2025","2025",41.262884,,
"OBOV-FULL","Global Ambition policy scenario","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2026","2026",43.157955,,
"OBOV-FULL","Global Ambition policy scenario","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2027","2027",45.064107,,
"OBOV-FULL","Global Ambition policy scenario","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2028","2028",46.977967,,
"OBOV-FULL","Global Ambition policy scenario","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2029","2029",48.896883,,
"OBOV-FULL","Global Ambition policy scenario","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2030","2030",50.818206,,
"OBOV-FULL","Global Ambition policy scenario","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2031","2031",52.742671,,
"OBOV-FULL","Global Ambition policy scenario","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2032","2032",54.669486,,
"OBOV-FULL","Global Ambition policy scenario","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2033","2033",56.596512,,
"OBOV-FULL","Global Ambition policy scenario","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2034","2034",58.523776,,
"OBOV-FULL","Global Ambition policy scenario","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2035","2035",60.449893,,
"OBOV-FULL","Global Ambition policy scenario","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2036","2036",62.374436,,
"OBOV-FULL","Global Ambition policy scenario","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2037","2037",64.295227,,
"OBOV-FULL","Global Ambition policy scenario","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2038","2038",66.212017,,
"OBOV-FULL","Global Ambition policy scenario","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2039","2039",68.122748,,
"OBOV-FULL","Global Ambition policy scenario","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2040","2040",70.025998,,
"OBOV-FULL","Global Ambition policy scenario","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2041","2041",71.920639,,
"OBOV-FULL","Global Ambition policy scenario","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2042","2042",73.805588,,
"OBOV-FULL","Global Ambition policy scenario","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2043","2043",75.679384,,
"OBOV-FULL","Global Ambition policy scenario","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2044","2044",77.540696,,
"OBOV-FULL","Global Ambition policy scenario","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2045","2045",79.387305,,
"OBOV-FULL","Global Ambition policy scenario","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2046","2046",81.217826,,
